Item,Close,Distant
2,"0.785 [0.764, 0.806]","0.803 [0.783, 0.823]"
4,"0.612 [0.587, 0.637]","0.610 [0.585, 0.635]"
5,"0.494 [0.469, 0.519]","0.525 [0.500, 0.550]"
7,"0.667 [0.643, 0.691]","0.668 [0.644, 0.692]"
9,"0.620 [0.595, 0.645]","0.622 [0.597, 0.647]"
10,"0.759 [0.737, 0.781]","0.778 [0.757, 0.799]"
12,"0.737 [0.715, 0.759]","0.734 [0.712, 0.756]"
14,"0.444 [0.419, 0.469]","0.467 [0.442, 0.492]"
16,"0.735 [0.713, 0.757]","0.722 [0.699, 0.745]"
19,"0.464 [0.439, 0.489]","0.472 [0.447, 0.497]"
20,"0.752 [0.730, 0.774]","0.753 [0.731, 0.775]"
22,"0.807 [0.787, 0.827]","0.809 [0.789, 0.829]"
23,"0.432 [0.407, 0.457]","0.445 [0.420, 0.470]"
